task_id,persona,primary_dimension,secondary_dimension,sort_mode,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t1,Evening walker,spatial,economic,rating,lp800a1,Nyne Hotels Lake Lodge - Colombo,33,33,0,0.0,0.0,9,-1.6094,0.625,0.438,0.5094,0.25,0.2,39335,4.6,4,1.5
t1,Evening walker,spatial,economic,rating,lp656d40c7,Sheraton Colombo Hotel,33,33,9,0.272727,27.27,2,-1.0986,0.469,0.656,0.7312,0.062,0.4,56627,4.7,5,2.2
t1,Evening walker,spatial,economic,rating,lp40d3f,Global Towers Hotel & Apartments,33,33,0,0.0,0.0,8,-3.4657,0.125,0.219,0.5375,0.875,0.725,16041,3.5,4,5.6
t1,Evening walker,spatial,economic,rating,lp5f0e5,Paradise Road Tintagel Colombo,33,33,0,0.0,0.0,7,-2.5649,0.375,0.25,0.8687,0.0,0.85,96633,4.5,5,1.7
t1,Evening walker,spatial,economic,rating,lp6e625,Hotel Janaki,33,33,0,0.0,0.0,6,-3.2581,0.188,0.094,0.2188,0.906,0.825,15319,4.0,3,4.2
t1,Evening walker,spatial,economic,rating,lp76eba,Radisson Hotel Colombo,33,33,0,0.0,0.0,5,-3.1355,0.156,0.281,0.4703,0.562,0.8,27402,4.2,4,5.0
t1,Evening walker,spatial,economic,rating,lp65589ffb,MaRadha Colombo,33,33,15,0.454545,45.45,1,0.0,0.25,0.312,0.325,0.406,0.675,35408,4.8,3,3.6
t1,Evening walker,spatial,economic,rating,lp6f007,Clock Inn Colombo,33,33,0,0.0,0.0,32,-3.3322,0.312,0.406,0.0563,0.938,0.625,13715,3.8,2,3.4
t1,Evening walker,spatial,economic,travel,lp102b02,Marino Beach Colombo,66,66,0,0.0,0.0,4,-2.9957,0.406,0.344,0.9047,0.469,0.625,30177,4.6,5,3.2
t1,Evening walker,spatial,economic,travel,lp6557c6e0,Granbell Hotel Colombo,66,66,0,0.0,0.0,30,-2.4849,0.531,0.625,0.5422,0.5,0.35,28807,4.6,4,2.3
t1,Evening walker,spatial,economic,travel,lp741c5,Cinnamon Red Colombo,66,66,0,0.0,0.0,29,-2.8332,0.5,0.5,0.6266,0.375,0.35,36530,4.5,4,1.9
t1,Evening walker,spatial,economic,travel,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,66,66,0,0.0,0.0,28,-2.3979,0.781,0.688,0.525,0.531,0.5,28429,4.2,4,2.1
t1,Evening walker,spatial,economic,travel,lp655a9e91,Zest Metropole,66,66,0,0.0,0.0,27,-1.7918,0.75,0.781,0.5375,0.656,0.5,21223,4.3,4,2.0
t1,Evening walker,spatial,economic,travel,lp656d3aa9,Sofia Colombo City Hotel,66,66,0,0.0,0.0,26,-2.6391,0.438,0.594,0.5922,0.594,0.35,23620,4.3,4,2.4
