task_id,persona,primary_dimension,secondary_dimension,hotel_id,hotel_name,n_respondents,n_shown,n_chosen,share,share_pct,rank_in_group,mean_neg_log_position,spatial,accessibility,facility,economic,disruption,price_lkr,rating,star,distance_km
t3,Self-funded worker,economic,accessibility,lp71118,CityRest Fort,233,233,33,0.141631,14.16,3,-1.5309,0.875,0.875,0.1922,0.969,0.45,11502,3.5,3,2.0
t3,Self-funded worker,economic,accessibility,lp43673,Pegasus Reef - A Beach Resort in Colombo,233,232,0,0.0,0.0,23,-3.1192,0.0,0.0,0.5859,0.781,0.95,20121,4.0,4,8.1
t3,Self-funded worker,economic,accessibility,lpc0df6,Fern Colombo,233,233,0,0.0,0.0,22,-2.7695,0.375,0.25,0.1422,0.844,0.75,16245,4.0,3,1.8
t3,Self-funded worker,economic,accessibility,lp6574b103,"Amari Colombo, Sri Lanka",233,232,0,0.0,0.0,21,-2.7418,0.562,0.656,0.8687,0.219,0.4,42203,4.5,5,2.2
t3,Self-funded worker,economic,accessibility,lp81760,The Steuart by Citrus,233,232,53,0.228448,22.84,1,-1.2694,0.938,0.969,0.4266,0.625,0.5,22604,4.2,4,2.2
t3,Self-funded worker,economic,accessibility,lp67286,Colombo Court Hotel & Spa,233,232,0,0.0,0.0,19,-3.0806,0.281,0.375,0.5938,0.094,0.725,52144,4.5,4,3.3
t3,Self-funded worker,economic,accessibility,lpc08f9,Morven Hotel Colombo,233,232,0,0.0,0.0,18,-2.3588,0.625,0.688,0.6703,0.688,0.2,21054,4.5,4,2.1
t3,Self-funded worker,economic,accessibility,lp857b8,Zylan Colombo,233,232,0,0.0,0.0,17,-3.0175,0.312,0.188,0.6047,0.438,0.8,34557,4.5,4,2.0
t3,Self-funded worker,economic,accessibility,lp72a36,Best Western Elyon Colombo,233,233,0,0.0,0.0,16,-3.0319,0.094,0.031,0.5687,0.812,0.875,19568,4.2,4,5.1
t3,Self-funded worker,economic,accessibility,lp800a1,Nyne Hotels Lake Lodge - Colombo,233,232,0,0.0,0.0,15,-2.5664,0.656,0.438,0.5094,0.25,0.2,39335,4.6,4,1.5
t3,Self-funded worker,economic,accessibility,lp656d40c7,Sheraton Colombo Hotel,233,232,5,0.021552,2.16,9,-2.6284,0.469,0.625,0.7312,0.062,0.4,56627,4.7,5,2.2
t3,Self-funded worker,economic,accessibility,lp40d3f,Global Towers Hotel & Apartments,233,233,0,0.0,0.0,14,-2.9251,0.125,0.156,0.5375,0.875,0.725,16041,3.5,4,5.6
t3,Self-funded worker,economic,accessibility,lp5f0e5,Paradise Road Tintagel Colombo,233,232,1,0.00431,0.43,11,-2.9934,0.406,0.281,0.8687,0.0,0.85,96633,4.5,5,1.7
t3,Self-funded worker,economic,accessibility,lp6e625,Hotel Janaki,233,233,3,0.012876,1.29,10,-2.8192,0.188,0.094,0.2188,0.906,0.825,15319,4.0,3,4.2
t3,Self-funded worker,economic,accessibility,lp76eba,Radisson Hotel Colombo,233,232,0,0.0,0.0,13,-3.1147,0.156,0.219,0.4703,0.562,0.8,27402,4.2,4,5.0
t3,Self-funded worker,economic,accessibility,lp65589ffb,MaRadha Colombo,233,232,17,0.073276,7.33,7,-2.7088,0.219,0.312,0.325,0.406,0.675,35408,4.8,3,3.6
t3,Self-funded worker,economic,accessibility,lp6f007,Clock Inn Colombo,233,233,14,0.060086,6.01,8,-2.6219,0.25,0.406,0.0563,0.938,0.625,13715,3.8,2,3.4
t4,Family on holiday,facility,spatial,lp102b02,Marino Beach Colombo,225,224,1,0.004464,0.45,10,-1.5989,0.812,0.906,0.9047,0.469,0.625,30177,4.6,5,3.2
t4,Family on holiday,facility,spatial,lp6557c6e0,Granbell Hotel Colombo,225,225,1,0.004444,0.44,11,-2.36,0.594,0.625,0.5422,0.5,0.35,28807,4.6,4,2.3
t4,Family on holiday,facility,spatial,lp741c5,Cinnamon Red Colombo,225,224,0,0.0,0.0,14,-2.5769,0.562,0.562,0.6266,0.375,0.35,36530,4.5,4,1.9
t4,Family on holiday,facility,spatial,lp9855f,Fairway Colombo - Sri Lanka's First Hotel With Robot Technology,225,225,0,0.0,0.0,19,-3.272,0.031,0.062,0.525,0.531,0.5,28429,4.2,4,2.1
t4,Family on holiday,facility,spatial,lp655a9e91,Zest Metropole,225,225,0,0.0,0.0,24,-3.256,0.062,0.094,0.5375,0.656,0.5,21223,4.3,4,2.0
t4,Family on holiday,facility,spatial,lp656d3aa9,Sofia Colombo City Hotel,225,225,0,0.0,0.0,20,-2.3592,0.688,0.75,0.5922,0.594,0.35,23620,4.3,4,2.4
t4,Family on holiday,facility,spatial,lp803e1,Galle Face Hotel,225,224,0,0.0,0.0,31,-3.0412,0.281,0.344,0.8141,0.281,0.4,38531,4.5,5,1.8
t4,Family on holiday,facility,spatial,lpb1537,Shangri-La Colombo,225,224,6,0.026786,2.68,6,-2.908,0.219,0.219,0.9281,0.031,0.4,68781,4.7,5,1.9
t4,Family on holiday,facility,spatial,lp3e58e,The Kingsbury Colombo,225,224,0,0.0,0.0,30,-3.2285,0.156,0.156,0.8766,0.312,0.55,37025,4.2,5,2.2
t4,Family on holiday,facility,spatial,lp30277,Hilton Colombo Residence,225,224,0,0.0,0.0,29,-3.0607,0.312,0.25,0.9062,0.188,0.55,43133,4.4,5,0.9
t4,Family on holiday,facility,spatial,lp67708,Supun Arcade Residency,225,225,0,0.0,0.0,28,-2.1179,0.75,0.875,0.4906,0.719,0.725,20768,3.8,4,5.7
t4,Family on holiday,facility,spatial,lp7c172,Mirage Colombo,225,225,1,0.004444,0.44,12,-2.3983,0.719,0.688,0.6328,0.75,0.8,20482,3.8,4,6.3
t4,Family on holiday,facility,spatial,lp33ddb,"Taj Samudra, Colombo",225,224,0,0.0,0.0,27,-3.081,0.25,0.281,0.9016,0.156,0.55,43993,4.5,5,1.7
t4,Family on holiday,facility,spatial,lpa0a8a,NH Collection Colombo,225,224,0,0.0,0.0,26,-2.5838,0.5,0.594,0.9594,0.344,0.325,36981,4.6,5,2.0
t4,Family on holiday,facility,spatial,lp1bc0d,Hilton Colombo Hotel,225,224,0,0.0,0.0,25,-3.2524,0.188,0.031,0.8547,0.125,0.475,47767,4.2,5,1.9
t4,Family on holiday,facility,spatial,lp71118,CityRest Fort,225,225,4,0.017778,1.78,7,-3.2204,0.125,0.125,0.1922,0.969,0.45,11502,3.5,3,2.0
